YEAR,state abb,RATE,DEATHS,state lowercase,STATE,
2015,TX,9.4,"2,588",texas,Texas,
2015,UT,23.4,646,utah,Utah,
2015,VT,16.7,99,vermont,Vermont,
2015,VA,12.4,"1,039",virginia,Virginia,
2015,WA,14.7,"1,094",washington,Washington,
2015,WV,41.5,725,west virginia,West Virginia,
2015,WI,15.5,878,wisconsin,Wisconsin,
2015,WY,16.4,96,wyoming,Wyoming,
2014,AL,15.2,723,alabama,Alabama,
2014,AK,16.8,124,alaska,Alaska,
2014,AZ,12.6,356,arizona,Arizona,
2014,AR,18.2,"1,211",arizona,Arizona,
2014,CA,11.1,"4,521",california,California,
2014,CO,16.3,899,colorado,Colorado,
2014,CT,17.6,623,conneticuit,Conneticuit,
2014,DE,20.9,189,delaware,Delaware,
2014,FL,13.2,"2,634",flordia,Flordia,
2014,GA,11.9,"1,206",georgia,Georgia,
2014,HI,10.9,157,hawaii,Hawaii,
2014,ID,13.7,212,idaho,Idaho,
2014,IL,13.1,"1,705",illinois,Illinois,
2014,IN,18.2,"1,172",indiana,Indiana,
2014,IA,8.8,264,iowa,Iowa,
2014,KS,11.7,332,kansas,Kansas,
2014,KY,24.7,"1,077",kentucky,Kentucky,
2014,LA,16.9,777,louisiana,Louisiana,
2014,ME,16.8,216,maine,Maine,
2014,MD,17.4,"1,070",maryland,Maryland,
2014,MA,19,"1,289",massachusetts,Massachusetts,
2014,MI,18,"1,762",michigan,Michigan,
2014,MN,9.6,517,minnesota,Minnesota,
2014,MS,11.6,336,mississippi,Mississippi,
2014,MO,18.2,"1,067",missouri,Missouri,
2014,MT,12.4,125,montana,Montana,
2014,NE,7.2,125,nebraska,Nebraska,
2014,NV,18.4,545,nevada,Nevada,
2014,NH,26.2,334,new hampshire,New Hampshire,
2014,NJ,14,"1,253",new jersey,New Jersey,
2014,NM,27.3,547,new mexico,New Mexico,
2014,NY,11.3,"2,300",new york,New York,
2014,NC,13.8,"1,358",north carolina,North Carolina,
2014,ND,6.3,43,north dakota,North Dakota,
2014,OH,24.6,"2,744",ohio,Ohio,
2014,OK,20.3,777,oklahoma,Oklahoma,
2014,OR,12.8,522,oregon,Oregon,
2014,PA,21.9,"2,732",pennsylvania,Pennsylvania,
2014,RI,23.4,247,rhode island,Rhode Island,
2014,SC,14.4,701,south carolina,South Carolina,
2014,SD,7.8,63,south dakota,South Dakota,
2014,TN,19.5,"1,269",tennessee,Tennessee,
2014,TX,9.7,"2,601",texas,Texas,
2014,UT,22.4,603,utah,Utah,
2014,VT,13.9,83,vermont,Vermont,
2014,VA,11.7,980,virginia,Virginia,
2014,WA,13.3,979,washington,Washington,
2014,WV,35.5,627,west virginia,West Virginia,
2014,WI,15.1,853,wisconsin,Wisconsin,
2014,WY,19.4,109,wyoming,Wyoming,
2005,AL,6.3,283,alabama,Alabama,
2005,AK,11.4,79,alaska,Alaska,
2005,AZ,14.1,794,arizona,Arizona,
2005,AR,10.1,269,arizona,Arizona,
2005,CA,9,"3,214",california,California,
